,CityName,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Al Wakrah,24.85,51.3333,288.15,51,1,2.06
1,Gondar,12.6,37.4667,290.51,38,49,1.32
2,Severin,53.5035,11.7719,271.48,95,100,2.24
3,Ereencav,49.8807,115.7253,246.26,84,2,4.77
4,Sharbulak,41.7667,69.4833,281.11,31,0,5.14
5,Sūlam,32.6061,35.3341,284.82,86,27,0.79
6,Hexi,24.1436,102.6486,281.8,88,0,1.61
7,Volkhov,59.9258,32.3382,264.82,62,100,5.02
8,Guntur,16.3,80.45,292.24,89,0,1.78
9,Kantilo,20.35,85.1833,295.15,88,0,0.77
10,Dauriya,49.9333,116.8667,243.34,83,69,2.4
11,Zhydachiv,49.3847,24.1425,267.15,93,75,3.0
12,Caticugan,9.1,123.0,299.15,89,90,2.06
13,Mengen,48.0495,9.3301,275.06,76,100,5.36
14,Koyasu,35.4181,139.2556,283.44,40,0,2.68
15,Anār Darah,32.7587,61.654,283.98,43,0,1.5
16,Ishioka,36.1833,140.2667,280.51,49,20,5.66
17,Ożarów Mazowiecki,52.2104,20.7972,267.7,93,90,2.06
18,Kabasalan,7.0667,124.65,296.47,93,99,0.55
19,Saryg-Sep,51.5,95.6,259.0,91,61,1.06
20,Kleítos,40.4333,21.8667,267.15,53,5,3.09
21,Impalutao,8.2578,125.0275,298.71,88,27,4.92
22,Hanko,59.8333,22.95,269.05,73,0,0.45
23,Nahkela,60.3983,24.9259,266.41,93,0,4.12
24,Changzhi,35.2089,111.7386,277.15,62,0,3.28
25,Kamianets-Podilskyi,48.6667,26.5667,264.82,79,5,3.13
26,Batagay-Alyta,67.8006,130.4114,242.08,85,98,0.95
27,Sodpur,22.7089,88.3872,294.15,88,0,1.84
28,Grand Bois,-20.4189,57.5442,299.15,89,75,2.06
29,Mashonaland East Province,-17.5,32.0,294.94,81,100,3.15
30,Malovodnoye,43.5108,77.6969,270.15,93,20,2.0
31,Nabatîyé et Tahta,33.3789,35.4839,284.77,59,40,2.57
32,Yujin,34.5151,109.2447,274.63,74,0,3.0
33,Zhavoronki,55.6497,37.1042,251.83,77,0,3.0
34,Santa Ana,33.7456,-117.8678,289.76,59,40,4.12
35,Pasauran,-6.2306,105.8325,299.25,84,96,3.75
36,Nastola,60.95,25.9333,266.47,86,90,4.63
37,Carnarvon,-24.8667,113.6333,298.15,100,40,5.66
38,Oktyabr’skiy,54.4815,53.471,251.17,90,96,2.54
39,Batiano,7.5534,126.4907,296.72,86,100,2.04
40,Elmadağ,39.9208,33.2308,268.15,86,90,7.2
41,Kozhukhovo,55.7067,37.6719,251.72,77,0,1.75
42,Pingtung,22.6714,120.4881,291.13,94,75,1.03
43,Denov,38.2667,67.9,285.38,38,31,3.05
44,Narusawa,35.75,138.7333,278.94,31,1,3.6
45,Markivka,49.5229,39.5705,260.87,92,0,2.18
46,Krasnorechenskiy,44.6265,135.3532,253.84,86,100,7.85
47,Shipilovo,55.6333,37.7,251.69,77,0,1.79
48,Nagīna,29.45,78.45,288.14,42,0,1.22
49,Mogocha,53.7333,119.7667,246.19,83,54,2.31
50,Sagaranten,-7.2184,106.8851,295.44,91,67,1.66
51,Hiratsuka,35.3231,139.3422,283.06,47,0,1.34
52,Bazovyy,45.0492,42.4683,263.15,85,90,3.0
53,Haoping,29.275,111.2713,281.33,84,57,0.87
54,Novaya Chigla,51.2233,40.4781,254.81,93,94,1.5
55,Sankeshwar,16.2667,74.4833,292.38,73,0,0.79
56,Osmancık,40.9782,34.8047,270.15,93,90,7.72
57,Izhmorskiy,56.194,86.6414,267.48,98,100,3.54
58,Racovița,44.9667,24.95,270.19,86,7,0.76
59,Az Zarbah,36.0676,36.9809,283.37,78,3,2.66
60,City of San Fernando,10.2833,-61.4667,300.79,61,40,6.69
61,Gongzhuling,43.5008,124.8198,257.65,92,100,2.63
62,Tokorozawa,35.7992,139.469,280.48,31,1,3.6
63,Old Mombasa,-4.0505,39.6649,298.9,82,100,5.02
64,Pulgaon,20.7333,78.3333,293.62,36,8,2.15
65,Latinka,41.5833,25.1333,272.15,69,40,7.2
66,San Isidro,-12.1167,-77.05,299.84,65,0,5.14
67,Mikun’,62.3547,50.0771,248.12,89,99,1.56
68,Estancia,-11.2683,-37.4383,301.15,69,20,6.17
69,Penguanzhuang,39.4842,117.8133,271.18,80,0,3.0
70,Obshtina Nesebar,42.7833,27.7333,270.97,74,0,4.63
71,Yakumo,42.2539,140.2692,274.96,86,100,13.73
72,Sunchang-chodeunghakgyo,35.3736,127.1428,269.98,87,0,0.36
73,Litóchoro,40.1006,22.4978,272.86,55,20,3.6
74,Brusartsi,43.6667,23.0667,268.71,79,0,0.89
75,Cengang,30.0775,121.9957,281.79,71,75,1.0
76,Narew,52.9142,23.5198,260.19,94,0,0.62
77,Abha,18.2164,42.5053,289.15,36,0,4.12
78,Gilgit,35.9221,74.3087,274.09,64,0,1.61
79,Ada,43.4166,-116.1262,275.47,87,90,4.12
80,Erbaa,40.6689,36.5675,273.15,93,75,1.54
81,San Miguel,13.4833,-88.1833,306.66,34,0,3.6
82,Santa Catalina Sur,13.8717,121.4331,297.04,87,65,1.79
83,Stêr Giyān,32.977,69.3731,277.94,63,0,0.77
84,Duyun,26.2667,107.5167,282.6,88,96,2.3
85,Robonkon,7.7535,123.4187,297.76,85,100,2.44
86,Puolanka,64.8667,27.6667,269.15,93,90,5.14
87,Lukh,57.0124,42.2584,249.77,90,1,2.92
88,Shitanjing,39.2342,106.3439,270.23,71,0,2.43
89,Sochi,43.6,39.7303,274.99,93,90,3.0
90,Zhongzhang,34.5545,108.7668,272.15,80,0,4.0
91,Urochishche Butyrki,53.9656,40.3897,248.83,91,0,1.74
92,Kéa,37.6333,24.35,274.79,86,90,6.69
93,Мралино,41.9569,21.6019,262.15,92,0,2.04
94,Lat Bua Luang,14.1657,100.3079,299.0,89,20,1.03
95,Taipingguan,29.7524,116.4297,283.72,83,100,2.07
96,Colonia Fabricii,45.4167,26.3,263.08,90,76,4.47
97,Province of  Zamboanga del Sur,7.9043,123.3194,296.08,90,90,1.43
98,Bamban,15.6747,120.3315,296.15,83,75,1.03
99,Vyzhnytsya,48.248,25.1945,264.16,95,97,1.42
100,Suoyarvi,62.0833,32.35,265.27,98,100,1.46
101,Lichuan,30.3,108.85,277.68,96,98,0.53
102,Phrasaeng,8.5678,99.2476,295.15,94,20,2.06
103,Kauit,11.186,123.9459,299.04,80,100,6.37
104,Dorowa Mining Lease,-19.0667,31.75,295.06,85,100,4.69
105,Heshikou,28.2223,114.0583,285.98,91,100,0.71
106,Maquiapo,14.9852,120.5589,296.15,83,75,1.03
107,‘Izbat Nādī aş Şayd,31.1789,29.9369,288.08,63,40,2.57
108,Baihe,22.15,107.2333,290.56,68,100,1.01
109,Kazan,55.7887,49.1221,250.15,77,20,3.0
110,Peishe,35.2973,111.3188,275.39,70,1,1.82
111,Krasnoye,49.9145,24.6134,267.15,93,75,3.0
112,Kaparéllion,38.2333,23.2167,273.14,100,90,5.58
113,Pos’yet,42.6529,130.7971,257.8,84,8,8.43
114,Belsand,26.45,85.4,286.72,61,0,1.57
115,Lesnoy,57.6198,63.0784,251.7,90,0,2.93
116,Novorudnyy,51.5026,58.1873,260.15,78,0,4.0
117,Fedotikha,55.4667,39.2667,250.26,90,0,1.76
118,Gornoye Loo,43.7129,39.6049,274.99,93,90,3.0
119,Upington,-28.4478,21.2561,296.15,27,0,5.66
120,Shevchenkove,49.6959,37.1735,259.99,85,0,2.0
121,Tovarkovo,54.6762,35.9386,249.15,84,0,1.03
122,Temirtau,50.0544,72.9483,270.15,74,40,7.0
123,Alamada,7.3333,124.5667,296.5,87,100,0.82
124,New Panamao,5.95,121.2,299.21,87,100,3.99
125,Mangoso,11.4175,122.6382,296.86,89,97,1.56
126,Tignapalan,8.2639,124.5747,298.71,88,87,4.92
127,Katoúna,38.7833,21.1167,276.15,41,20,2.57
128,Camalaniugan,18.274,121.6748,292.24,87,89,0.85
129,Dalubian,25.0414,112.6291,290.07,72,67,1.31
130,Thiruvarur,10.7667,79.65,295.44,88,1,1.43
131,Rāmganj Mandi,24.65,75.9333,291.54,35,16,1.06
132,Shihuiqiao,30.5532,112.2723,282.04,80,58,2.7
133,Youarang,-36.1667,145.8,289.15,88,10,1.54
134,Nomós Lasithíou,35.0833,25.8333,282.04,60,100,15.41
135,Mae Taeng,19.1171,98.9418,291.15,82,0,1.54
136,Manjēshvar,12.7,74.8833,297.15,88,20,1.54
137,Obshtina Nikopol,43.6,24.9333,272.09,80,75,4.12
138,Strathalbyn,-35.2667,138.9,291.4,82,38,0.95
139,Ulaanjirem,45.05,105.5667,258.04,81,18,1.97
140,Kōchi,34.7,138.9333,277.04,62,0,0.89
141,Moratuwa,6.773,79.8816,298.15,88,0,1.54
142,Hamcearca,45.1167,28.3667,269.2,80,25,5.66
143,Masaya,11.9744,-86.0942,307.15,43,20,6.17
144,Pozniaky,50.4,30.6167,259.64,73,75,4.0
145,Qiaonan,34.3433,109.5926,277.04,67,42,1.93
146,Radnevo,42.3,25.9333,273.15,74,75,5.14
147,Tekman,39.6436,41.5078,279.15,61,75,1.54
148,Calvini,45.25,26.3,263.11,90,24,4.47
149,Marka,1.7159,44.7717,297.67,84,0,8.57
150,Pallappatti,10.7,77.8833,295.58,78,18,2.83
151,Joroinen,62.1782,27.8317,268.71,91,100,2.24
