,CityName,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
28,Grand Bois,-20.4189,57.5442,299.15,89,75,2.06
29,Mashonaland East Province,-17.5,32.0,294.94,81,100,3.15
35,Pasauran,-6.2306,105.8325,299.25,84,96,3.75
37,Carnarvon,-24.8667,113.6333,298.15,100,40,5.66
50,Sagaranten,-7.2184,106.8851,295.44,91,67,1.66
63,Old Mombasa,-4.0505,39.6649,298.9,82,100,5.02
66,San Isidro,-12.1167,-77.05,299.84,65,0,5.14
68,Estancia,-11.2683,-37.4383,301.15,69,20,6.17
104,Dorowa Mining Lease,-19.0667,31.75,295.06,85,100,4.69
119,Upington,-28.4478,21.2561,296.15,27,0,5.66
133,Youarang,-36.1667,145.8,289.15,88,10,1.54
138,Strathalbyn,-35.2667,138.9,291.4,82,38,0.95
153,Panawangan,-7.118,108.3816,293.44,100,96,1.04
172,Attadale,-32.0236,115.7958,294.96,94,10,2.68
190,Sawohan,-7.4272,112.7701,297.15,94,20,3.09
193,Pintharuka,-29.1,115.9833,300.61,46,51,0.77
201,United Republic of Tanzania,-6.0,35.0,293.96,90,100,1.19
205,Glencoe,-28.1783,30.147,287.39,95,100,3.35
218,Kedung,-6.599,111.0439,297.92,88,100,3.13
229,Winburg,-28.518,27.0093,290.88,81,9,6.04
249,Moutsamoudou,-12.1667,44.3994,300.66,81,100,6.29
259,Wé,-20.9169,167.2646,300.35,82,100,3.98
262,Yarra,-37.8049,145.0034,290.52,88,100,2.57
287,Salawu,-7.3755,108.0325,294.61,89,82,1.26
298,West Toodyay,-31.5333,116.4167,294.19,83,75,2.06
302,Ciherang,-6.374,105.9491,296.74,93,88,1.68
325,Sandleton,-34.4667,139.3333,294.4,30,97,6.26
332,Tanggul,-8.1645,113.4525,296.88,84,100,1.0
339,Kamina,-8.7386,24.9906,292.11,93,98,1.11
363,Balong,-6.8381,111.1714,296.79,92,79,2.05
365,Kadupandak,-7.2611,107.0472,297.25,82,87,1.86
368,Wild Horse Plains,-34.3667,138.2833,294.75,30,90,6.26
378,Kriel,-26.2739,29.2253,288.71,82,100,3.13
383,Moorlands,-35.3,139.65,292.97,53,15,0.39
392,Merakurak,-6.8783,111.9863,298.83,85,97,2.83
393,Mvuma,-19.2792,30.5283,292.28,92,100,2.57
394,Plaine Corail,-19.7583,63.3583,300.0,84,38,7.6
396,Goodlands,-20.035,57.6431,299.26,82,100,0.89
424,Republic of Seychelles,-4.5833,55.6667,301.15,78,20,4.12
425,Babat,-7.1128,112.1635,297.02,93,98,1.24
432,Yarrawonga,-36.0167,146.0,289.15,88,10,1.54
437,Marondera,-18.1853,31.5519,290.06,98,100,4.83
458,Commonwealth of Australia,-25.0,135.0,297.83,24,0,4.15
466,Grand Sable,-20.3142,57.7644,299.2,89,75,2.06
472,Kalgan,-34.8847,118.0131,289.15,94,56,1.33
474,Kakonko,-3.2828,30.9642,291.8,90,100,1.12
481,Cilentung,-6.3274,105.9563,294.53,100,87,1.66
489,Sedatiagung,-7.3819,112.7581,297.15,94,20,3.09
497,Meningie,-35.7,139.3333,293.71,53,4,2.25
509,Southern District,-25.0,25.0,295.73,46,15,3.05
511,Same,-4.0667,37.7333,294.83,73,100,2.46
513,Ambunti,-4.2365,142.8448,296.0,97,85,0.78
529,Yielima,-35.9333,145.2167,293.71,58,30,3.25
542,Hoedspruit,-24.3512,30.9533,296.15,94,99,6.17
543,Mount Darwin,-16.7725,31.5838,294.59,79,99,2.37
556,Buduran,-7.4281,112.7234,297.15,94,20,3.09
565,Mangaran,-7.6668,114.0406,298.23,84,99,2.12
569,Booleroo Centre,-32.8799,138.3507,295.37,36,37,0.45
571,Manokwari,-0.8667,134.0833,298.37,78,100,1.4
573,Nuriootpa,-34.4833,139.0,293.51,68,100,3.28
576,Bantul,-7.8881,110.3289,297.85,87,83,1.65
582,Bima,-8.4667,118.7167,297.12,88,89,0.82
590,Ngozi Province,-2.875,29.925,288.94,95,100,0.61
591,Kendenup,-34.4833,117.65,289.15,94,82,1.67
